Country,1996[9],2016[10],2019[6][a]
Afghanistan,–,0.2,0.2
Albania,2.59,7.5,5.1
Algeria,0.27,0.9,0.6
Andorra,–,11.3,11.1
Angola,1.58,6.4,6.2
Antigua and Barbuda,–,7.0,8.5
Argentina,9.58,9.8,8.0
Armenia,0.84,5.5,5.0
Australia,9.55,10.6,10.1
Austria,11.90,11.6,12.0
Azerbaijan,4.16,0.8,2.0
Bahamas,–,4.4,4.4
Bahrain,–,1.9,1.6
Bangladesh,–,0.0,0.1
Barbados,8.37,9.6,9.5
Bhutan,–,0.6,0.2
Belarus,8.14,11.2,10.9
Belgium,10.94,12.1,10.3
Belize,5.85,6.7,5.7
Benin,1.39,3.0,8.3
Bolivia,3.35,4.8,4.1
Bosnia and Herzegovina,8.25,6.4,6.4
Botswana,2.68,8.4,8.2
Brazil,5.57,7.8,7.7
Brunei,0.75,0.4,0.4
Bulgaria,9.52,12.7,11.9
Burkina Faso,0.45,8.2,9.8
Burundi,1.17,7.5,4.1
Cambodia,0.34,6.7,8.5
Cameroon,1.58,8.9,10.1
Canada,7.52,8.9,9.9
Cape Verde,3.86,5.7,6.3
Central African Republic,0.70,3.3,2.0
Chad,0.23,1.5,3.7
Chile,7.06,9.3,6.7
China,5.39,7.2,5.7
Colombia,6.41,5.8,4.9
Comoros,–,0.9,0.3
Congo,1.56,7.8,6.4
Cook Islands,–,10.6,10.6
Costa Rica,5.72,4.8,3.5
Ivory Coast,1.43,8.4,2.8
Croatia,11.75,8.9,8.5
Cuba,3.53,6.1,6.0
Cyprus,10.00,10.8,8.1
Czech Republic,14.35,14.4,13.3
Denmark,12.15,10.4,9.4
Djibouti,0.47,0.5,0.4
Dominica,–,8.2,6.1
Dominican Republic,5.90,6.9,6.8
DR Congo,0.21,2.6,2.1
Ecuador,1.66,4.4,3.3
Egypt,0.53,0.4,0.1
Equatorial Guinea,–,11.3,6.9
El Salvador,2.54,3.7,3.3
Eritrea,0.95,1.3,1.2
Estonia[b],8.07,11.6,11.3
Eswatini[c],1.18,9.9,8.1
Ethiopia,1.02,2.8,3.4
Fiji,1.82,3.0,3.4
Finland,8.26,10.7,9.2
France,13.74,12.6,11.3
Gabon,6.76,11.5,7.3
Gambia,0.16,3.8,1.1
Georgia,4.50,9.8,14.3
Germany,11.67,13.4,12.2
Ghana,0.41,2.7,4.5
Greece,10.41,10.4,7.1
Grenada,–,9.3,8.1
Guatemala,1.99,2.4,1.6
Guinea,0.17,1.3,0.5
Guinea-Bissau,1.59,4.8,4.1
Guyana,14.03,6.3,5.3
Haiti,6.55,5.8,3.5
Honduras,2.41,4.0,3.2
Hungary,12.85,11.4,10.6
Iceland,4.88,9.1,8.1
India,0.99,5.7,4.9
Indonesia,0.13,0.8,0.1
Iran,–,1.0,0.7
Iraq,0.61,0.4,0.2
Ireland,11.90,13.0,11.7
Israel,1.75,3.8,3.0
Italy,9.62,7.5,8.0
Jamaica,3.90,4.2,3.6
Japan,7.85,8.0,6.7
Jordan,–,0.7,0.3
Kazakhstan,7.71,7.7,4.5
Kenya,1.66,3.4,2.9
Kiribati,–,0.4,0.8
Kuwait,–,0.0,0.1
Kyrgyzstan,2.20,6.2,5.0
Laos,4.12,10.4,11.5
Latvia,8.70,12.9,13.1
Lebanon,5.43,1.5,1.5
Lesotho,1.12,5.0,4.5
Liberia,5.68,5.8,3.6
Libya,–,0.0,0.1
Lithuania,6.23,15.0,11.8
Luxembourg,14.35,13.0,11.5
Macedonia,4.86,8.1,4.6
Madagascar,1.25,1.9,1.0
Malawi,0.42,3.7,3.2
Malaysia,0.87,0.9,0.8
Maldives,2.08,2.7,1.4
Mali,–,1.3,4.3
Malta,6.91,8.1,8.5
Mauritania,–,0.0,0.1
Mauritius,4.33,3.6,7.5
Mexico,5.04,6.5,5.7
Micronesia,–,2.5,2.1
Moldova,8.62,15.2,11.4
Mongolia,1.95,7.4,7.9
Montenegro,–,8.0,10.3
Morocco,0.58,0.6,0.5
Mozambique,0.45,2.4,2.0
Myanmar,0.21,4.8,2.1
Namibia,–,9.8,5.9
Nauru,–,6.0,2.9
Nepal,–,2.0,1.4
Netherlands,9.80,8.7,9.3
Netherlands Antilles,8.78,–,–
New Caledonia,11.26,–,–
New Zealand,8.85,10.7,9.9
Nicaragua,2.34,5.2,4.2
Niger,–,0.5,0.1
Nigeria,0.66,13.4,4.2
Niue,–,7.0,9.3
North Korea,2.56,3.9,4.3
Norway,4.97,7.5,6.8
Oman,–,0.8,0.9
Pakistan,–,0.3,0.1
Panama,5.74,7.9,6.6
Papua New Guinea,1.02,1.2,1.7
Paraguay,9.71,7.2,5.6
Peru,4.00,6.3,7.5
Philippines,6.77,6.6,6.2
Poland,7.93,11.6,11.6
Portugal,13.57,12.3,10.4
Qatar,–,2.0,1.1
Romania,10.88,12.6,17.0
Russia,8.08,11.7,10.4
Rwanda,0.71,9.0,1.9
Saint Kitts and Nevis,–,9.4,6.3
Saint Lucia,–,9.9,9.5
Saint Vincent and the Grenadines,–,8.2,7.2
Samoa,–,2.5,2.4
São Tomé and Príncipe,–,6.8,5.0
Saudi Arabia,–,0.2,0.1
Senegal,0.41,0.7,0.4
Serbia,–,11.1,7.9
Seychelles,–,13.8,12.0
Sierra Leone,–,5.7,0.3
Singapore,2.10,2.5,1.9
Slovakia,13.00,11.5,10.5
Slovenia,15.15,12.6,11.0
Solomon Islands,0.56,1.4,1.6
Somalia,–,0.0,0.1
South Africa,7.72,9.3,8.8
South Korea,14.40,10.2,8.2
Spain,11.09,10.0,10.9
Sri Lanka,0.21,4.3,2.8
Sudan,0.26,0.5,0.1
Suriname,4.68,5.1,6.6
Syria,0.21,0.3,0.2
Sweden,6.04,9.2,9.3
Switzerland,11.27,11.5,10.4
Tajikistan,1.78,3.3,0.9
Tanzania,0.60,9.4,10.4
Thailand,8.64,8.3,7.8
Timor-Leste,–,2.1,0.4
Togo,1.01,3.1,1.4
Tonga,–,1.5,0.4
Trinidad and Tobago,3.69,8.4,6.1
Tunisia,0.89,1.9,2.0
Turkey,1.35,2.0,1.8
Turkmenistan,1.17,5.4,2.9
Tuvalu,–,1.7,1.2
Uganda,0.46,9.5,12.2
Ukraine,2.31,8.6,8.7
United Arab Emirates,3.06,3.8,2.4
United Kingdom,–,11.4,10.8
United States,8.90,9.8,9.6
Uruguay,8.17,10.8,5.5
Uzbekistan,1.55,2.7,2.6
Vanuatu,0.96,1.0,1.9
Venezuela,9.41,5.6,3.0
Vietnam,1.21,8.3,9.3
Yemen,0.15,0.1,0.1
Zambia,0.63,4.8,3.9
Zimbabwe,2.78,4.8,3.6
